"trialday","wash_status","insecticide_name","treatment","UA","UD","FA","FD","dead","fed","total"
29,"Control","untreated",0,0,0,0,0,0,0,0
20,"Control","untreated",0,3,0,0,0,0,0,3
2,"36","interceptor",1,3,0,0,0,0,0,3
21,"Control","untreated",0,0,0,0,0,0,0,0
36,"Control","untreated",0,2,0,0,0,0,0,2
25,"Control","untreated",0,2,0,0,0,0,0,2
1,"Control","untreated",0,1,0,0,0,0,0,1
14,"36","olysetplus",2,1,0,0,0,0,0,1
12,"36","olysetplus",2,0,0,0,0,0,0,0
26,"Control","untreated",0,0,0,1,0,0,1,1
14,"Control","untreated",0,0,0,0,0,0,0,0
21,"Control","untreated",0,0,0,1,0,0,1,1
23,"0","interceptor",1,0,0,0,0,0,0,0
23,"0","interceptor",1,0,0,1,0,0,1,1
4,"Control","untreated",0,4,0,0,0,0,0,4
4,"0","interceptor",1,5,0,0,0,0,0,5
9,"Control","untreated",0,2,0,1,0,0,1,3
13,"Control","untreated",0,0,0,1,0,0,1,1
8,"Control","untreated",0,0,0,3,0,0,3,3
13,"0","interceptorG2",3,0,0,0,0,0,0,0
9,"Control","untreated",0,2,0,0,0,0,0,2
5,"36","olysetplus",2,0,0,0,0,0,0,0
36,"Control","untreated",0,2,0,2,0,0,2,4
19,"Control","untreated",0,1,0,1,0,0,1,2
1,"0","interceptor",1,2,0,1,0,0,1,3
12,"Control","untreated",0,3,0,1,0,0,1,4
17,"36","interceptorG2",3,0,0,0,0,0,0,0
25,"0","olysetplus",2,3,0,0,0,0,0,3
1,"Control","untreated",0,0,0,0,0,0,0,0
35,"Control","untreated",0,1,0,1,0,0,1,2
31,"Control","untreated",0,0,0,2,0,0,2,2
34,"0","olysetplus",2,1,1,0,0,1,0,2
30,"0","interceptorG2",3,2,4,0,1,5,1,7
28,"Control","untreated",0,3,0,1,0,0,1,4
16,"0","interceptorG2",3,0,1,2,0,1,2,3
4,"36","interceptor",1,0,0,0,0,0,0,0
23,"Control","untreated",0,0,0,0,0,0,0,0
9,"36","interceptor",1,0,0,0,0,0,0,0
25,"Control","untreated",0,0,0,0,0,0,0,0
18,"Control","untreated",0,0,0,0,0,0,0,0
6,"Control","untreated",0,2,0,1,0,0,1,3
10,"36","olysetplus",2,4,0,0,0,0,0,4
19,"Control","untreated",0,0,0,0,0,0,0,0
9,"0","interceptorG2",3,0,0,0,0,0,0,0
18,"0","interceptor",1,0,0,0,0,0,0,0
8,"36","olysetplus",2,6,1,0,0,1,0,7
3,"36","olysetplus",2,0,0,0,0,0,0,0
11,"Control","untreated",0,5,0,0,0,0,0,5
6,"Control","untreated",0,2,0,3,0,0,3,5
1,"36","interceptorG2",3,4,0,1,0,0,1,5
8,"Control","untreated",0,5,0,1,0,0,1,6
34,"Control","untreated",0,0,0,0,0,0,0,0
25,"Control","untreated",0,0,0,0,0,0,0,0
25,"Control","untreated",0,2,0,0,0,0,0,2
11,"Control","untreated",0,1,0,0,0,0,0,1
5,"36","interceptor",1,6,0,0,0,0,0,6
7,"36","interceptor",1,0,0,0,0,0,0,0
18,"Control","untreated",0,0,0,0,0,0,0,0
6,"36","interceptor",1,3,0,2,0,0,2,5
3,"36","interceptor",1,4,0,1,0,0,1,5
14,"Control","untreated",0,0,0,0,0,0,0,0
3,"36","olysetplus",2,3,0,2,0,0,2,5
11,"0","interceptor",1,2,1,2,0,1,2,5
27,"Control","untreated",0,1,0,1,0,0,1,2
19,"Control","untreated",0,3,0,2,0,0,2,5
21,"Control","untreated",0,2,0,0,0,0,0,2
4,"36","interceptorG2",3,4,0,1,0,0,1,5
6,"Control","untreated",0,0,0,0,0,0,0,0
25,"Control","untreated",0,1,0,1,0,0,1,2
4,"0","interceptorG2",3,4,0,1,0,0,1,5
17,"Control","untreated",0,0,0,0,0,0,0,0
36,"0","olysetplus",2,5,4,2,0,4,2,11
22,"0","interceptor",1,1,0,2,0,0,2,3
10,"Control","untreated",0,0,0,0,0,0,0,0
35,"0","olysetplus",2,0,0,2,0,0,2,2
3,"36","interceptorG2",3,0,0,0,0,0,0,0
7,"36","interceptorG2",3,0,0,0,0,0,0,0
17,"0","interceptor",1,0,0,0,0,0,0,0
9,"36","interceptor",1,6,0,0,0,0,0,6
12,"36","olysetplus",2,5,0,1,0,0,1,6
31,"Control","untreated",0,1,0,0,0,0,0,1
3,"Control","untreated",0,5,0,0,0,0,0,5
30,"Control","untreated",0,0,0,0,0,0,0,0
9,"0","olysetplus",2,5,0,0,0,0,0,5
8,"Control","untreated",0,0,0,3,0,0,3,3
9,"36","interceptorG2",3,7,0,0,0,0,0,7
35,"Control","untreated",0,5,0,1,0,0,1,6
34,"Control","untreated",0,0,0,0,0,0,0,0
5,"36","olysetplus",2,6,0,1,0,0,1,7
5,"Control","untreated",0,5,1,2,0,1,2,8
34,"Control","untreated",0,5,0,1,0,0,1,6
8,"0","interceptor",1,0,0,0,0,0,0,0
29,"Control","untreated",0,5,0,0,0,0,0,5
10,"Control","untreated",0,3,0,1,0,0,1,4
35,"Control","untreated",0,0,0,1,0,0,1,1
7,"Control","untreated",0,0,0,0,0,0,0,0
6,"36","interceptorG2",3,2,0,4,0,0,4,6
8,"Control","untreated",0,0,0,0,0,0,0,0
13,"Control","untreated",0,0,0,0,0,0,0,0
30,"Control","untreated",0,7,0,1,0,0,1,8
18,"0","interceptor",1,0,0,0,0,0,0,0
22,"Control","untreated",0,1,0,1,0,0,1,2
13,"Control","untreated",0,0,0,0,0,0,0,0
4,"Control","untreated",0,0,0,0,0,0,0,0
